,Right_Eartag,Radio_Freq,Species,Age.x,Sex,Capture_Date,Trap_Site,Study_Area,SPECIES,NORTHING,EASTING,SLOPE,VRM,NEW_VEG,ELEV_AL,season,mdy_location,Year,Month,DOY,DOM
21,5334 Y,150.78,MD,1,F,18-Mar-98,JUNIPER,56,MD,4680787,341713,24.75575066,0.001537217,4,1916,fawnrearing,6/21/1998,1998,6,172,21
37,BB643,150.49,MD,1,F,24-Jan-98,EAST FORK,73A,MD,4716795,355621,55.76799774,0.005632294,4,2170,fawnrearing,5/29/1998,1998,5,149,29
39,BB643,150.49,MD,1,F,24-Jan-98,EAST FORK,73A,MD,4715982,357356,11.91695786,0.025971837,1,1799,fawnrearing,6/21/1998,1998,6,172,21
49,BB679,150.79,MD,1,F,24-Jan-98,EAST FORK,73A,MD,4720231,356021,47.82055664,0.013472133,3,1826,fawnrearing,6/21/1998,1998,6,172,21
63,BB685,150.56,MD,1,F,24-Jan-98,MORRIS CREEK,73A,MD,4695852,352209,5.559026718,0.000171343,4,1584,fawnrearing,6/21/1998,1998,6,172,21
64,BB685,150.56,MD,1,F,24-Jan-98,MORRIS CREEK,73A,MD,4691732,337593,23.31100082,0.01164394,8,1727,fawnrearing,5/29/1998,1998,5,149,29
214,WS241,150.58,MD,1,F,30-Jan-98,NORTH CHAPIN,56,MD,4702205,338714,32.45723724,0.010190964,8,1906,fawnrearing,6/21/1998,1998,6,172,21
233,WS249,150.59,MD,1,F,30-Jan-98,NORTH CHAPIN,56,MD,4691878,339300,24.50906944,0.006547504,8,1952,fawnrearing,7/17/1999,1999,7,198,17
234,WS249,150.59,MD,1,F,30-Jan-98,NORTH CHAPIN,56,MD,4691878,339300,24.50906944,0.006547504,8,1952,fawnrearing,7/17/1998,1998,7,198,17
294,WS358,150.57,MD,1,F,30-Jan-98,NORTH HEGLAR,56,MD,4692442,360456,30.23633766,0.011965328,10,1817,fawnrearing,6/21/1998,1998,6,172,21
295,WS358,150.57,MD,1,F,30-Jan-98,NORTH HEGLAR,56,MD,4690591,339710,47.23243332,0.015422821,12,1896,fawnrearing,5/29/1998,1998,5,149,29
299,WS358,151.12,MD,1,F,13-Feb-98,GROOM ROAD,73A,MD,4692442,360456,30.23633766,0.011965328,10,1817,fawnrearing,6/21/1998,1998,6,172,21
300,WS358,151.12,MD,1,F,13-Feb-98,GROOM ROAD,73A,MD,4690591,339710,47.23243332,0.015422821,12,1896,fawnrearing,5/29/1998,1998,5,149,29
367,WS371,150.55,MD,1,F,30-Jan-98,NORTH CHAPIN,56,MD,4680710,341024,43.85898972,0.002953635,8,1916,fawnrearing,7/17/1999,1999,7,198,17
368,WS371,150.55,MD,1,F,30-Jan-98,NORTH CHAPIN,56,MD,4680710,341024,43.85898972,0.002953635,8,1916,fawnrearing,7/17/1998,1998,7,198,17
430,WS377,150.48,MD,1,F,8-Feb-98,COLD CREEK,56,MD,4679920,338338,41.31518555,0.003226492,4,1913,fawnrearing,7/17/1998,1998,7,198,17
434,WS377,150.48,MD,1,F,8-Feb-98,COLD CREEK,56,MD,4679920,338338,41.31518555,0.003226492,4,1913,fawnrearing,7/17/1999,1999,7,198,17
436,WS378,150.71,MD,1,F,8-Feb-98,COLD CREEK,56,MD,4700903,331895,25.36538506,0.00332133,8,2039,fawnrearing,7/17/1999,1999,7,198,17
437,WS378,150.71,MD,1,F,8-Feb-98,COLD CREEK,56,MD,4700903,331895,25.36538506,0.00332133,8,2039,fawnrearing,7/17/1998,1998,7,198,17
127,SM410,152.3,MD,2,F,30-Jan-98,NORTH CHAPIN,56,MD,4691854,328615,36.42438889,0.002298567,13,1922,fawnrearing,6/21/1998,1998,6,172,21
128,SM410,152.3,MD,2,F,30-Jan-98,NORTH CHAPIN,56,MD,4689475,332774,13.70573711,0.00362534,13,1816,fawnrearing,7/17/1998,1998,7,198,17
129,SM410,152.3,MD,2,F,30-Jan-98,NORTH CHAPIN,56,MD,4689475,332774,13.70573711,0.00362534,13,1816,fawnrearing,7/17/1998,1998,7,198,17
259,WS354,152.26,MD,2,F,30-Jan-98,NORTH HEGLAR,56,MD,4696609,345446,7.168604374,0.001394696,12,1648,fawnrearing,6/21/1998,1998,6,172,21
427,WS376,152.06,MD,2,F,30-Jan-98,NORTH CHAPIN,56,MD,4691640,330560,35.02479172,0.00299761,12,1830,fawnrearing,7/17/1998,1998,7,198,17
428,WS376,152.06,MD,2,F,30-Jan-98,NORTH CHAPIN,56,MD,4691640,330560,35.02479172,0.00299761,12,1830,fawnrearing,7/17/1998,1998,7,198,17
429,WS376,152.06,MD,2,F,30-Jan-98,NORTH CHAPIN,56,MD,4690651,328585,23.70243835,0.020666441,8,1871,fawnrearing,6/21/1998,1998,6,172,21
4,0161 R,151.11,MD,3,F,18-Mar-98,DRY HOLLOW,73A,MD,4723365,355758,33.17671585,0.022927813,4,1912,fawnrearing,6/21/1998,1998,6,172,21
9,0573 R,150.63,MD,3,F,18-Mar-98,JUNIPER,56,MD,4696372,363979,47.85684586,0.00116539,8,2135,fawnrearing,6/21/1998,1998,6,172,21
