RadioFreq,Sex,SexBin,event,RadioDays,enter,exit,Year,STUDYAREA,StudyAreaBin,Initial Fate,Final cause,PRECIP,PREVPRECIP,LIONREMOV,Lion Difference,air_coyote_density,ground_coyote_density,TotalCRD,Trap_Site,Calc_age,Capture_Date,Date_Fate,Est_Birth_Date,start of season,Trap_Site,KM_Fate,Personnel,Trap_Longitude,Trap_Latitude,Elevation,Fate_Longitude,Fate_Latitude,,,,,,,,,,,,,,,,s02
153.112,M,1,0,33,1.35,34.35,1998,56,1,shedcoll,.,6.22,5.6,1.76,0,0,0,0,STATION FORK SUBLET,1.35,6/11/1998,7/14/1998,6/9/1998,5/19/1998,STATION FORK SUBLET,1,,0,0,,0,0,,,,,,,,,,,,,,,,
153.16,F,0,0,108,14.1,122.1,1998,56,1,RadioFai,.,6.22,5.6,1.76,0,0,0,0,TRAIL CANYON,14.1,6/14/1998,9/30/1998,5/30/1998,5/19/1998,TRAIL CANYON,1,"Juza, Hurley",343421,4690005,5640,,,,,,,,,,,,,,,,,,
153.392,F,0,0,125,1.35,126.35,1998,56,1,shedcoll,.,6.22,5.6,1.76,0,0,0,0,WINDY CANYON,1.35,6/14/1998,10/17/1998,6/12/1998,5/19/1998,WINDY CANYON,1,"HURLEY, JUZA",343772,4694705,5660,0,0,,,,,,,,,,,,,,,,
153.41,M,1,0,165,1.35,166.35,1998,56,1,Radiofai,.,6.22,5.6,1.76,0,0,0,0,COLD SPRING CAN,1.35,6/18/1998,11/30/1998,6/16/1998,5/19/1998,COLD SPRING CAN,1,,0,0,,0,0,,,,,,,,,,,,,,,,
153.5,F,0,0,169,1.35,170.35,1998,56,1,shedcoll,.,6.22,5.6,1.76,0,0,0,0,WINDY CANYON,1.35,6/14/1998,11/30/1998,6/12/1998,5/19/1998,WINDY CANYON,1,,343772,4694705,5660,0,0,,,,,,,,,,,,,,,,
153.42,F,0,0,155,3.9,158.9,1998,73A,0,Radiofai,.,6.22,5.6,8.87,7.11,52.31,0,52.31,BARNARD RD,3.9,6/28/1998,11/30/1998,6/24/1998,5/19/1998,BARNARD RD,1,,349341,4713259,4920,0,0,,,,,,,,,,,,,,,,
153.541,F,0,0,121,3.9,124.9,1998,73A,0,shedcoll,.,6.22,5.6,8.87,7.11,52.31,0,52.31,BUCK CANYON,3.9,6/18/1998,10/17/1998,6/14/1998,5/19/1998,BUCK CANYON,1,"JUZA, CARSON",353194,4716187,5560,0,0,,,,,,,,,,,,,,,,
153.56,M,1,0,164,19.2,183.2,1998,73A,0,Radiofai,.,6.22,5.6,8.87,7.11,52.31,0,52.31,WATER CANYON,19.2,6/19/1998,11/30/1998,5/30/1998,5/19/1998,WATER CANYON,1,"HURLEY, CLEMENS",350792,4719607,,0,0,,,,,,,,,,,,,,,,
153.571,M,1,0,168,9,177,1998,73A,0,LegalHar,.,6.22,5.6,8.87,7.11,52.31,0,52.31,EAST FORK,9,6/15/1998,11/30/1998,6/6/1998,5/19/1998,EAST FORK,0,HURLEY,352123,4714987,5100,0,0,,,,,,,,,,,,,,,,
153.03,F,0,0,175,0,175,1999,56,1,Radiofai,.,3.91,4.81,2.64,0,0,0,0,FALL CR,0,6/8/1999,11/30/1999,6/8/1999,5/19/1999,FALL CR,1,"410, TFERGUSON",0,0,,0,0,,,,,,,,,,,,,,,,
153.05,M,1,0,115,11.55,126.55,1999,56,1,Radiofai,.,3.91,4.81,2.64,0,0,0,0,LAKE CYN,11.55,6/16/1999,10/9/1999,6/4/1999,5/19/1999,LAKE CYN,1,"GUNNELL, WALTERS",332665,4693333,,0,0,,,,,,,,,,,,,,,,
153.07,F,0,0,153,1.35,154.35,1999,56,1,Radiofai,.,3.91,4.81,2.64,0,0,0,0,S FORK SUBLETT CR,1.35,6/8/1999,11/8/1999,6/6/1999,5/19/1999,S FORK SUBLETT CR,1,"409, 430",0,0,,0,0,,,,,,,,,,,,,,,,
153.11,F,0,0,116,0,116,1999,56,1,Lostfrom,.,3.91,4.81,2.64,0,0,0,0,GUARD STATION,0,6/11/1999,10/5/1999,6/11/1999,5/19/1999,GUARD STATION,1,"BPALMER, CNIELSON",0,0,,0,0,,,,,,,,,,,,,,,,
153.12,M,1,0,91,0,91,1999,56,1,Radiofai,.,3.91,4.81,2.64,0,0,0,0,TRAIL CANYON,0,6/15/1999,9/14/1999,6/15/1999,5/19/1999,TRAIL CANYON,1,"RSMITH, RHOLMAN",0,0,,0,0,,,,,,,,,,,,,,,,
153.22,M,1,0,172,4.66,176.66,1999,56,1,shedcoll,.,3.91,4.81,2.64,0,0,0,0,HEYDLAUFF CYN,4.66,6/1/1999,11/20/1999,5/27/1999,5/19/1999,HEYDLAUFF CYN,1,JGUNNELL,343346,4686543,6160,0,0,,,,,,,,,,,,,,,,
153.291,F,0,0,176,3.9,179.9,1999,56,1,Radiofai,.,3.91,4.81,2.64,0,0,0,0,HARTLEY CANYON,3.9,6/5/1999,11/28/1999,6/1/1999,5/19/1999,HARTLEY CANYON,1,"JUZA,GUNNELL",341695,4699874,5760,0,0,,,,,,,,,,,,,,,,
153.48,F,0,0,175,11.55,186.55,1999,56,1,Radiofai,.,3.91,4.81,2.64,0,0,0,0,SHIRLEY CRK,11.55,6/17/1999,12/9/1999,6/5/1999,5/19/1999,SHIRLEY CRK,1,,0,0,,0,0,,,,,,,,,,,,,,,,
153,M,1,0,167,6.45,173.45,1999,73A,0,Radiofai,.,3.91,4.81,14.18,11.54,63.829,14.18,78.01,SAGEHEN SPRINGS,6.45,6/16/1999,11/30/1999,6/9/1999,5/19/1999,SAGEHEN SPRINGS,1,"JWALTERS, MCLEMENS",0,0,,0,0,,,,,,,,,,,,,,,,
153.01,F,0,0,169,9,178,1999,73A,0,Radiofai,.,3.91,4.81,14.18,11.54,63.829,14.18,78.01,SAGEHEN SPRINGS,9,6/14/1999,11/30/1999,6/5/1999,5/19/1999,SAGEHEN SPRINGS,1,"HURLEY, HOLLY O.",0,0,,0,0,,,,,,,,,,,,,,,,
153.02,M,1,0,96,3.9,99.9,1999,73A,0,Radiofai,.,3.91,4.81,14.18,11.54,63.829,14.18,78.01,SAGEHEN SPRINGS,3.9,6/16/1999,9/20/1999,6/12/1999,5/19/1999,SAGEHEN SPRINGS,1,"JWALTERS, MCLEMENS",0,0,,0,0,,,,,,,,,,,,,,,,
153.14,F,0,0,86,6.45,92.45,1999,73A,0,shedcoll,.,3.91,4.81,14.18,11.54,63.829,14.18,78.01,BARNARD RD,6.45,6/16/1999,9/10/1999,6/9/1999,5/19/1999,BARNARD RD,1,"JUZA, HOLLY O.",0,0,,350231,4714501,,,,,,,,,,,,,,,,
153.24,F,0,0,154,6.45,160.45,1999,73A,0,Radiofai,.,3.91,4.81,14.18,11.54,63.829,14.18,78.01,SAGEHEN SPRINGS,6.45,6/16/1999,11/17/1999,6/9/1999,5/19/1999,SAGEHEN SPRINGS,1,"503, 855",356789,4689283,6600,0,0,,,,,,,,,,,,,,,,
153.25,M,1,0,133,1.35,134.35,1999,73A,0,Radiofai,.,3.91,4.81,14.18,11.54,63.829,14.18,78.01,SAGEHEN SPRINGS,1.35,6/15/1999,10/26/1999,6/13/1999,5/19/1999,SAGEHEN SPRINGS,1,"JWALTERS, MCLEMENS",0,0,,0,0,,,,,,,,,,,,,,,,
153.28,F,0,0,146,6.45,152.45,1999,73A,0,Radiofai,.,3.91,4.81,14.18,11.54,63.829,14.18,78.01,SAGEHEN SPRINGS,6.45,6/16/1999,11/9/1999,6/9/1999,5/19/1999,SAGEHEN SPRINGS,1,"HURLEY, COMPTON",356789,4689283,6600,0,0,,,,,,,,,,,,,,,,
153.3,F,0,0,103,3.9,106.9,1999,73A,0,Radiofai,.,3.91,4.81,14.18,11.54,63.829,14.18,78.01,WATERTANK,3.9,6/9/1999,9/20/1999,6/5/1999,5/19/1999,BAKER CANYON,1,"HURLEY, AMY",363824,4693284,6560,0,0,,,,,,,,,,,,,,,,
153.32,F,0,0,172,11.55,183.55,1999,73A,0,Radiofai,.,3.91,4.81,14.18,11.54,63.829,14.18,78.01,WATERTANK,11.55,6/9/1999,11/28/1999,5/28/1999,5/19/1999,BAKER CANYON,1,"SEGLUND,HURLEY,HOLLY",363856,4693373,6450,0,0,,,,,,,,,,,,,,,,
153.331,M,1,0,92,1.35,93.35,1999,73A,0,Radiofai,.,3.91,4.81,14.18,11.54,63.829,14.18,78.01,HOLLOW CRK,1.35,6/10/1999,9/10/1999,6/8/1999,5/19/1999,BAKER CANYON,1,HURLEY,0,0,,0,0,,,,,,,,,,,,,,,,
153.34,F,0,0,139,3.9,142.9,1999,73A,0,Radiofai,.,3.91,4.81,14.18,11.54,63.829,14.18,78.01,WATERTANK,3.9,6/9/1999,10/26/1999,6/5/1999,5/19/1999,BAKER CANYON,1,"HURLEY, MITCHELL",363824,4693284,6560,0,0,,,,,,,,,,,,,,,,
153.36,M,1,0,157,1.35,158.35,1999,73A,0,Radiofai,.,3.91,4.81,14.18,11.54,63.829,14.18,78.01,LAKE CANYON,1.35,6/13/1999,11/17/1999,6/11/1999,5/19/1999,LAKE CANYON,1,"TSCOTT, KNICKISCH",0,0,,0,0,,,,,,,,,,,,,,,,
153.39,F,0,0,175,3.9,178.9,1999,73A,0,Radiofai,.,3.91,4.81,14.18,11.54,63.829,14.18,78.01,LAKE CANYON,3.9,6/8/1999,11/30/1999,6/4/1999,5/19/1999,LAKE CANYON,1,"KNICKISCH, CANDERSON",367005,4697526,5640,0,0,,,,,,,,,,,,,,,,
153.44,F,0,0,167,6.45,173.45,1999,73A,0,Radiofai,.,3.91,4.81,14.18,11.54,63.829,14.18,78.01,HOLLOW CRK,6.45,6/4/1999,11/18/1999,5/28/1999,5/19/1999,BAKER CYN,1,"HURLEY, NICK, SCOTT",364179,4695332,6280,0,0,,,,,,,,,,,,,,,,
153.45,M,1,0,174,1.35,175.35,1999,73A,0,Radiofai,.,3.91,4.81,14.18,11.54,63.829,14.18,78.01,LAKE CANYON,1.35,6/9/1999,11/30/1999,6/7/1999,5/19/1999,LAKE CANYON,1,"NICKISCH, HURLEY",366586,4698078,5960,0,0,,,,,,,,,,,,,,,,
153.47,F,0,0,162,9,171,1999,73A,0,Radiofai,.,3.91,4.81,14.18,11.54,63.829,14.18,78.01,LAKE CANYON,9,6/9/1999,11/18/1999,5/31/1999,5/19/1999,LAKE CANYON,1,"HURLEY, NICKISCH",366684,4698100,,0,0,,,,,,,,,,,,,,,,
153.49,M,1,0,127,3.9,130.9,1999,73A,0,shedcoll,.,3.91,4.81,14.18,11.54,63.829,14.18,78.01,HOLLOW CRK,3.9,6/1/1999,10/6/1999,5/28/1999,5/19/1999,BAKER CYN,1,"HURLEY, NICKISCH",365285,4695375,6080,364841,4696153,,,,,,,,,,,,,,,,
153.53,M,1,0,92,6.45,98.45,1999,73A,0,shedcoll,.,3.91,4.81,14.18,11.54,63.829,14.18,78.01,HOLLOW CRK,6.45,6/10/1999,9/10/1999,6/3/1999,5/19/1999,BAKER CYN,1,"GUNNELL,BISHOP,MIYAS",365623,4693321,,365623,4693321,,,,,,,,,,,,,,,,
153.581,M,1,0,122,3.9,125.9,1999,73A,0,Radiofai,.,3.91,4.81,14.18,11.54,63.829,14.18,78.01,COW CANYON,3.9,6/9/1999,10/9/1999,6/5/1999,5/19/1999,COW CANYON,1,BISHOP,0,0,,0,0,,,,,,,,,,,,,,,,
153.59,F,0,0,129,3.9,132.9,1999,73A,0,shedcoll,.,3.91,4.81,14.18,11.54,63.829,14.18,78.01,SAND HOLLOW,3.9,6/12/1999,10/19/1999,6/8/1999,5/19/1999,SAND HOLLOW,1,"HURLEY, SONNEN",351755,4710457,,353671,4709606,,,,,,,,,,,,,,,,
153.65,F,0,0,171,6.45,177.45,1999,73A,0,Radiofai,.,3.91,4.81,14.18,11.54,63.829,14.18,78.01,SAND HOLLOW,6.45,6/12/1999,11/30/1999,6/5/1999,5/19/1999,SAND HOLLOW,1,,351693,4710453,,0,0,,,,,,,,,,,,,,,,
153.03,F,0,0,129,3.9,132.9,2000,56,1,Radiofai,.,1.02,3,1.76,0,0,0,0,FALL CR,3.9,6/13/2000,10/20/2000,6/9/2000,5/19/2000,FALL CR,1,"HOLMAN,OLSEN,PRICE",0,0,,0,0,,,,,,,,,,,,,,,,
153.08,M,1,0,171,1.35,172.35,2000,56,1,Unknown,.,1.02,3,1.76,0,0,0,0,TWIN CANYONS,1.35,6/12/2000,11/30/2000,6/10/2000,5/19/2000,TWIN CANYONS,0,"OLSEN,HOLMAN,PRICE",0,0,,347989,4656454,,,,,,,,,,,,,,,,
